paper_id,user_id,rating
1401.0828v1,arcolife,
1401.0828v1,caftlegs,
1401.0828v1,AnonymousUser,
1401.0828v1,ArchitSharmacfe32b0780384656,
1401.0828v1,arcolife7a0cc2bd622c4127,
1401.0828v1,arcshams,
1401.0828v1,ArchitSharma,
1010.5976v1,arcolife,
1010.5976v1,caftlegs,
1010.5976v1,AnonymousUser,
1010.5976v1,ArchitSharmacfe32b0780384656,
1010.5976v1,arcolife7a0cc2bd622c4127,
1010.5976v1,arcshams,
1010.5976v1,ArchitSharma,
0706.0750v2,arcolife,
0706.0750v2,caftlegs,
0706.0750v2,AnonymousUser,
0706.0750v2,ArchitSharmacfe32b0780384656,
0706.0750v2,arcolife7a0cc2bd622c4127,
0706.0750v2,arcshams,
0706.0750v2,ArchitSharma,
1103.4289v1,arcolife,
1103.4289v1,caftlegs,
1103.4289v1,AnonymousUser,
1103.4289v1,ArchitSharmacfe32b0780384656,
1103.4289v1,arcolife7a0cc2bd622c4127,
1103.4289v1,arcshams,
1103.4289v1,ArchitSharma,
0611347v1,arcolife,
0611347v1,caftlegs,
0611347v1,AnonymousUser,
0611347v1,ArchitSharmacfe32b0780384656,
0611347v1,arcolife7a0cc2bd622c4127,
0611347v1,arcshams,
0611347v1,ArchitSharma,
1304.3144v1,arcolife,
1304.3144v1,caftlegs,
1304.3144v1,AnonymousUser,
1304.3144v1,ArchitSharmacfe32b0780384656,
1304.3144v1,arcolife7a0cc2bd622c4127,
1304.3144v1,arcshams,
1304.3144v1,ArchitSharma,
9809193v1,arcolife,
9809193v1,caftlegs,
9809193v1,AnonymousUser,
9809193v1,ArchitSharmacfe32b0780384656,
9809193v1,arcolife7a0cc2bd622c4127,
9809193v1,arcshams,
9809193v1,ArchitSharma,
1310.0361v1,arcolife,
1310.0361v1,caftlegs,
1310.0361v1,AnonymousUser,
1310.0361v1,ArchitSharmacfe32b0780384656,
1310.0361v1,arcolife7a0cc2bd622c4127,
1310.0361v1,arcshams,
1310.0361v1,ArchitSharma,
0207047v3,arcolife,
0207047v3,caftlegs,
0207047v3,AnonymousUser,
0207047v3,ArchitSharmacfe32b0780384656,
0207047v3,arcolife7a0cc2bd622c4127,
0207047v3,arcshams,
0207047v3,ArchitSharma,
9509004v1,arcolife,
9509004v1,caftlegs,
9509004v1,AnonymousUser,
9509004v1,ArchitSharmacfe32b0780384656,
9509004v1,arcolife7a0cc2bd622c4127,
9509004v1,arcshams,
9509004v1,ArchitSharma,
0008244v1,arcolife,
0008244v1,caftlegs,
0008244v1,AnonymousUser,
0008244v1,ArchitSharmacfe32b0780384656,
0008244v1,arcolife7a0cc2bd622c4127,
0008244v1,arcshams,
0008244v1,ArchitSharma,
0701181v1,arcolife,
0701181v1,caftlegs,
0701181v1,AnonymousUser,
0701181v1,ArchitSharmacfe32b0780384656,
0701181v1,arcolife7a0cc2bd622c4127,
0701181v1,arcshams,
0701181v1,ArchitSharma,
1304.1684v1,arcolife,
1304.1684v1,caftlegs,
1304.1684v1,AnonymousUser,
1304.1684v1,ArchitSharmacfe32b0780384656,
1304.1684v1,arcolife7a0cc2bd622c4127,
1304.1684v1,arcshams,
1304.1684v1,ArchitSharma,
1101.0426v1,arcolife,
1101.0426v1,caftlegs,
1101.0426v1,AnonymousUser,
1101.0426v1,ArchitSharmacfe32b0780384656,
1101.0426v1,arcolife7a0cc2bd622c4127,
1101.0426v1,arcshams,
1101.0426v1,ArchitSharma,
0911.4426v1,arcolife,
0911.4426v1,caftlegs,
0911.4426v1,AnonymousUser,
0911.4426v1,ArchitSharmacfe32b0780384656,
0911.4426v1,arcolife7a0cc2bd622c4127,
0911.4426v1,arcshams,
0911.4426v1,ArchitSharma,
field,arcolife,
field,caftlegs,
field,AnonymousUser,
field,ArchitSharmacfe32b0780384656,
field,arcolife7a0cc2bd622c4127,
field,arcshams,
field,ArchitSharma,
0701121v1,arcolife,
0701121v1,caftlegs,
0701121v1,AnonymousUser,
0701121v1,ArchitSharmacfe32b0780384656,
0701121v1,arcolife7a0cc2bd622c4127,
0701121v1,arcshams,
0701121v1,ArchitSharma,
1402.5513v1,arcolife,
1402.5513v1,caftlegs,
1402.5513v1,AnonymousUser,
1402.5513v1,ArchitSharmacfe32b0780384656,
1402.5513v1,arcolife7a0cc2bd622c4127,
1402.5513v1,arcshams,
1402.5513v1,ArchitSharma,
0305165v1,arcolife,
0305165v1,caftlegs,
0305165v1,AnonymousUser,
0305165v1,ArchitSharmacfe32b0780384656,
0305165v1,arcolife7a0cc2bd622c4127,
0305165v1,arcshams,
0305165v1,ArchitSharma,
0212092v1,arcolife,
0212092v1,caftlegs,
0212092v1,AnonymousUser,
0212092v1,ArchitSharmacfe32b0780384656,
0212092v1,arcolife7a0cc2bd622c4127,
0212092v1,arcshams,
0212092v1,ArchitSharma,
1007.3838v1,arcolife,
1007.3838v1,caftlegs,
1007.3838v1,AnonymousUser,
1007.3838v1,ArchitSharmacfe32b0780384656,
1007.3838v1,arcolife7a0cc2bd622c4127,
1007.3838v1,arcshams,
1007.3838v1,ArchitSharma,
1201.3611v1,arcolife,
1201.3611v1,caftlegs,
1201.3611v1,AnonymousUser,
1201.3611v1,ArchitSharmacfe32b0780384656,
1201.3611v1,arcolife7a0cc2bd622c4127,
1201.3611v1,arcshams,
1201.3611v1,ArchitSharma,
0604144v1,arcolife,
0604144v1,caftlegs,
0604144v1,AnonymousUser,
0604144v1,ArchitSharmacfe32b0780384656,
0604144v1,arcolife7a0cc2bd622c4127,
0604144v1,arcshams,
0604144v1,ArchitSharma,
9803035v2,arcolife,
9803035v2,caftlegs,
9803035v2,AnonymousUser,
9803035v2,ArchitSharmacfe32b0780384656,
9803035v2,arcolife7a0cc2bd622c4127,
9803035v2,arcshams,
9803035v2,ArchitSharma,
1106.1524v1,arcolife,
1106.1524v1,caftlegs,
1106.1524v1,AnonymousUser,
1106.1524v1,ArchitSharmacfe32b0780384656,
1106.1524v1,arcolife7a0cc2bd622c4127,
1106.1524v1,arcshams,
1106.1524v1,ArchitSharma,
1108.5491v1,arcolife,
1108.5491v1,caftlegs,
1108.5491v1,AnonymousUser,
1108.5491v1,ArchitSharmacfe32b0780384656,
1108.5491v1,arcolife7a0cc2bd622c4127,
1108.5491v1,arcshams,
1108.5491v1,ArchitSharma,
0907.5143v2,arcolife,
0907.5143v2,caftlegs,
0907.5143v2,AnonymousUser,
0907.5143v2,ArchitSharmacfe32b0780384656,
0907.5143v2,arcolife7a0cc2bd622c4127,
0907.5143v2,arcshams,
0907.5143v2,ArchitSharma,
0501183v1,arcolife,
0501183v1,caftlegs,
0501183v1,AnonymousUser,
0501183v1,ArchitSharmacfe32b0780384656,
0501183v1,arcolife7a0cc2bd622c4127,
0501183v1,arcshams,
0501183v1,ArchitSharma,
0903.4244v1,arcolife,
0903.4244v1,caftlegs,
0903.4244v1,AnonymousUser,
0903.4244v1,ArchitSharmacfe32b0780384656,
0903.4244v1,arcolife7a0cc2bd622c4127,
0903.4244v1,arcshams,
0903.4244v1,ArchitSharma,
0608268v1,arcolife,
0608268v1,caftlegs,
0608268v1,AnonymousUser,
0608268v1,ArchitSharmacfe32b0780384656,
0608268v1,arcolife7a0cc2bd622c4127,
0608268v1,arcshams,
0608268v1,ArchitSharma,
0203017v1,arcolife,
0203017v1,caftlegs,
0203017v1,AnonymousUser,
0203017v1,ArchitSharmacfe32b0780384656,
0203017v1,arcolife7a0cc2bd622c4127,
0203017v1,arcshams,
0203017v1,ArchitSharma,
0901.0902v2,arcolife,
0901.0902v2,caftlegs,
0901.0902v2,AnonymousUser,
0901.0902v2,ArchitSharmacfe32b0780384656,
0901.0902v2,arcolife7a0cc2bd622c4127,
0901.0902v2,arcshams,
0901.0902v2,ArchitSharma,
1110.3036v1,arcolife,
1110.3036v1,caftlegs,
1110.3036v1,AnonymousUser,
1110.3036v1,ArchitSharmacfe32b0780384656,
1110.3036v1,arcolife7a0cc2bd622c4127,
1110.3036v1,arcshams,
1110.3036v1,ArchitSharma,
1306.1166v1,arcolife,
1306.1166v1,caftlegs,
1306.1166v1,AnonymousUser,
1306.1166v1,ArchitSharmacfe32b0780384656,
1306.1166v1,arcolife7a0cc2bd622c4127,
1306.1166v1,arcshams,
1306.1166v1,ArchitSharma,
0205220v2,arcolife,
0205220v2,caftlegs,
0205220v2,AnonymousUser,
0205220v2,ArchitSharmacfe32b0780384656,
0205220v2,arcolife7a0cc2bd622c4127,
0205220v2,arcshams,
0205220v2,ArchitSharma,
1011.1841v1,arcolife,
1011.1841v1,caftlegs,
1011.1841v1,AnonymousUser,
1011.1841v1,ArchitSharmacfe32b0780384656,
1011.1841v1,arcolife7a0cc2bd622c4127,
1011.1841v1,arcshams,
1011.1841v1,ArchitSharma,
0504141v1,arcolife,
0504141v1,caftlegs,
0504141v1,AnonymousUser,
0504141v1,ArchitSharmacfe32b0780384656,
0504141v1,arcolife7a0cc2bd622c4127,
0504141v1,arcshams,
0504141v1,ArchitSharma,
0808.2923v2,arcolife,
0808.2923v2,caftlegs,
0808.2923v2,AnonymousUser,
0808.2923v2,ArchitSharmacfe32b0780384656,
0808.2923v2,arcolife7a0cc2bd622c4127,
0808.2923v2,arcshams,
0808.2923v2,ArchitSharma,
0610139v1,arcolife,
0610139v1,caftlegs,
0610139v1,AnonymousUser,
0610139v1,ArchitSharmacfe32b0780384656,
0610139v1,arcolife7a0cc2bd622c4127,
0610139v1,arcshams,
0610139v1,ArchitSharma,
0004030v1,arcolife,
0004030v1,caftlegs,
0004030v1,AnonymousUser,
0004030v1,ArchitSharmacfe32b0780384656,
0004030v1,arcolife7a0cc2bd622c4127,
0004030v1,arcshams,
0004030v1,ArchitSharma,
0509171v1,arcolife,
0509171v1,caftlegs,
0509171v1,AnonymousUser,
0509171v1,ArchitSharmacfe32b0780384656,
0509171v1,arcolife7a0cc2bd622c4127,
0509171v1,arcshams,
0509171v1,ArchitSharma,
1310.3473v1,arcolife,
1310.3473v1,caftlegs,
1310.3473v1,AnonymousUser,
1310.3473v1,ArchitSharmacfe32b0780384656,
1310.3473v1,arcolife7a0cc2bd622c4127,
1310.3473v1,arcshams,
1310.3473v1,ArchitSharma,
